pc_name,total_votes
Karimganj ,886920.0
Karimnagar ,1125184.0
Karnal,1193500.0
Karur,1046534.0
Kasaragod,974215.0
Katihar,977830.0
Kaushambi,910414.0
Khadoor Sahib,1040518.0
Khagaria,896231.0
Khammam ,1183849.0
Kheda,955906.0
Kheri,1077868.0
Khunti,736955.0
Kishanganj,928490.0
Kodarma,1024906.0
Kokrajhar,1223869.0
Kolar,1127315.0
Kolhapur,1260289.0
Kolkata Dakshin,1167986.0
Kolkata Uttar,955778.0
Kollam,879056.0
Koppal,1006508.0
Kota,1154960.0
Kottayam,831636.0
Kozhikode,943009.0
Krishnagiri,1068391.0
Krishnanagar,1247914.0
Kurnool,1065732.0
Kurukshetra,1135892.0
Kushi Nagar,950446.0
Ladakh,118029.0
Lakhimpur,1111975.0
Lakshadweep,43239.0
Lalganj,898655.0
Latur ,1057156.0
Lohardaga,651460.0
Lucknow,1033883.0
Ludhiana,1100457.0
MANDLA,1218518.0
MANDSOUR,1161349.0
MIZORAM,433201.0
MORENA,854279.0
Machhlishahr,997902.0
Machilipatnam ,1141065.0
Madha,1079619.0
Madhepura,1034799.0
Madhubani,860453.0
Madurai,974809.0
Mahabubabad  ,1124372.0
Maharajganj,1902732.0
Mahbubnagar,1014800.0
Mahesana,1004258.0
Mainpuri,999265.0
Malappuram,853467.0
Maldaha Dakshin,1092407.0
Maldaha Uttar,1162985.0
Malkajgiri,1620444.0
Mandi,726094.0
Mandya,1192638.0
Mangaldoi,1233237.0
Mathura,1076868.0
Mathurapur,1270985.0
Maval,1174335.0
Mavelikkara ,889060.0
Mayiladuthurai,1025538.0
Medak,1191011.0
Medinipur,1260748.0
Meerut,1113384.0
Mirzapur,1007627.0
Misrikh,998314.0
Mohanlalganj,1116588.0
Moradabad,1127965.0
Mumbai   South,779741.0
Mumbai North,946562.0
Mumbai North East,861761.0
Mumbai North West,895517.0
Mumbai North central,845292.0
Mumbai South central,768627.0
Munger,914350.0
Murshidabad,1287763.0
Muzaffarnagar,1107434.0
Muzaffarpur,948887.0
Mysore,1159594.0
NEW DELHI                     ,969812.0
NORTH EAST DELHI              ,1317338.0
NORTH WEST DELHI              ,1356036.0
Nagaland,1038910.0
Nagapattinam ,942202.0
Nagarkurnool,1108968.0
Nagaur,1004019.0
Nagina,942196.0
Nagpur ,1085038.0
Nainital-udhamsingh Nagar,1101435.0
Nalanda,921761.0
Nalgonda,1189399.0
Namakkal,1058755.0
Nanded,1013350.0
Nandurbar ,1116676.0
Nandyal,1204956.0
Narasaraopet,1282058.0
Narsapuram,1088947.0
Nashik,937405.0
Navsari,1160747.0
Nawada,884441.0
Nellore,1187648.0
Nilgiris ,933076.0
Nizamabad,1033924.0
North Goa,406631.0
Nowgong,1230074.0
Ongole ,1208225.0
Osmanabad,1118151.0
Outer manipur,771766.0
Palakkad,910322.0
Palamau,977323.0
Palghar ,992618.0
Pali,1095587.0
Panchmahal,933461.0
Parbhani,1162233.0
Paschim Champaran,854800.0
Pataliputra,978649.0
Patan,955799.0
Pathanamthitta,869452.0
Patiala,1120933.0
Patna Sahib,882262.0
Peddapalle ,1022184.0
Perambalur,1030826.0
Phulpur,960341.0
Pilibhit,1050547.0
Pollachi,1012667.0
Ponnani,871592.0
Porbandar,809433.0
Pratapgarh,894456.0
Puducherry,740017.0
Pune,993278.0
Purnia,1017732.0
Purulia,1204675.0
Purvi Champaran,822671.0
RAJGARH,1010724.0
RATLAM,1082690.0
REWA,830002.0
Rae Bareli,825136.0
Raichur,968889.0
Raigad,987766.0
Raiganj,1108193.0
Rajahmundry,1154381.0
Rajampet,1158317.0
Rajkot,1057069.0
Rajmahal,951563.0
Rajsamand,982119.0
Ramanathapuram,1001048.0
Rampur,956389.0
Ramtek ,1050316.0
Ranaghat,1353196.0
Ranchi,1049783.0
Ratnagiri - sindhudurg,896256.0
Raver,1009213.0
Robertsganj,885873.0
Rohtak,1044331.0
SAGAR,891929.0
SATNA,913444.0
SHAHDOL,968518.0
SIDHI,989396.0
SOUTH DELHI                   ,1102410.0
Sabarkantha,1094002.0
Saharanpur,1194308.0
Salem,1150296.0
Salempur,854749.0
Samastipur (SC),863199.0
Sambhal,1057002.0
Sangli,1046659.0
Sangrur,1099467.0
Sant Kabir Nagar,1011649.0
Saran,863254.0
Sasaram (SC),846788.0
Satara,976681.0
Secundrabad,1003769.0
Shahjahanpur,1129841.0
Sheohar,842894.0
Shillong,619987.0
Shimla,737756.0
Shimoga,1129008.0
Shirdi,932645.0
Shirur,1089506.0
Shrawasti,979638.0
Sikar,1065750.0
Sikkim,308967.0
Silchar,799830.0
Singhbhum,795286.0
Sirsa,1279105.0
Sitamarhi,900588.0
Sitapur,1026972.0
Sivaganga,1027036.0
Siwan,884021.0
Solapur ,951201.0
Sonipat,985638.0
South Goa,410369.0
Srerampur,1290433.0
Srikakulam,1052115.0
Srinagar,312212.0
Sriperumbudur,1286647.0
Sultanpur,964981.0
Supaul,970528.0
Surat,947922.0
Surendranagar,944677.0
TIKAMGARH,766321.0
TONK-SAWAI MADHOPUR,1043638.0
Tamluk,1337684.0
Tehri Garhwal,776214.0
Tenkasi ,1017938.0
Tezpur,980688.0
Thane,1054189.0
Thanjavur,1012258.0
Theni ,1075583.0
Thiruvallur ,1254440.0
Thiruvananthapuram,873441.0
Thoothukkudi,916778.0
Thrissur,920505.0
Tiruchirappalli,988250.0
Tirunelveli,962330.0
Tirupati ,1213062.0
Tiruppur,1050190.0
Tiruvannamalai,1067447.0
Tripura East,951080.0
Tripura West,1072749.0
Tumkur,1101484.0
Tura ,458071.0
UJJAIN,1016405.0
Udaipur,1193202.0
Udhampur,1041758.0
Udupi Chikmagalur,1034108.0
Ujiarpur,858920.0
Uluberia,1186027.0
Unnao,1201603.0
Uttara Kannada,1001038.0
VIDISHA,1073473.0
Vadakara,959342.0
Vadodara,1161577.0
Vaishali,925937.0
Valmiki Nagar,900127.0
Valsad,1122203.0
Varanasi,1030685.0
Vellore,974770.0
Vijayawada,1195765.0
Viluppuram,1067641.0
Virudhunagar,1010930.0
Visakhapatnam,1163558.0
Vizianagaram,1120316.0
WEST DELHI                    ,1347971.0
Warangal,1174631.0
Wardha,1013445.0
Wayanad,915006.0
Yavatmal-Washim,1032949.0
Zahirabad,1094806.0
