pc_name,total_votes
KARAULI-DHOLPUR,998044.0
KHAJURAHO,1257783.0
KHANDWA,1468138.0
KHARGONE,1427607.0
KORBA,1136903.0
Kachchh,1023198.0
Kadapa,1228242.0
Kairana,1124047.0
Kaiserganj,981400.0
Kakinada,1234655.0
Kalahandi,1228292.0
Kaliabor,1424687.0
Kallakurichi,1204375.0
Kalyan,890313.0
Kancheepuram ,1237612.0
Kandhamal,941985.0
Kangra,1006989.0
Kannauj,1140496.0
Kanniyakumari,1048377.0
Kannur,1053842.0
Kanpur,842994.0
Kanthi,1424247.0
Karakat,868798.0
Karimganj ,1060072.0
Karimnagar ,1147697.0
Karnal,1300722.0
Karur,1103165.0
Kasaragod,1100051.0
Katihar,1117734.0
Kaushambi,974438.0
Kendrapara ,1238214.0
Keonjhar ,1176292.0
Khadoor Sahib,1046032.0
Khagaria,966813.0
Khammam ,1139831.0
Kheda,1098633.0
Kheri,1136660.0
Khunti,832377.0
Kishanganj,1101603.0
Kodarma,1209541.0
Kokrajhar,1479485.0
Kolar,1258551.0
Kolhapur,1330852.0
Kolkata Dakshin,1206645.0
Kolkata Uttar,950613.0
Kollam,968123.0
Koppal,1190347.0
Koraput ,1080161.0
Kota,1367034.0
Kottayam,910339.0
Kozhikode,1076193.0
Krishnagiri,1161369.0
Krishnanagar,1366443.0
Kurnool,1188327.0
Kurukshetra,1230202.0
Kushi Nagar,1053117.0
Ladakh,126426.0
Lakhimpur,1283589.0
Lakshadweep,47009.0
Lalganj,960568.0
Latur ,1176542.0
Lohardaga,817550.0
Lucknow,1116445.0
Ludhiana,1046955.0
MAHASAMUND,1222335.0
MANDLA,1517255.0
MANDSOUR,1370667.0
MIZORAM,499621.0
MORENA,1137290.0
Machhlishahr,1034925.0
Machilipatnam ,1244570.0
Madha,1216319.0
Madhepura,1147274.0
Madhubani,963708.0
Madurai,1016026.0
Mahabubabad  ,983535.0
Maharajganj,2199619.0
Mahbubnagar,984634.0
Mahesana,1081938.0
Mainpuri,976518.0
Malappuram,1034618.0
Maldaha Dakshin,1279202.0
Maldaha Uttar,1354706.0
Malkajgiri,1563063.0
Mandi,941371.0
Mandya,1379210.0
Mangaldoi,1506107.0
Mathura,1102731.0
Mathurapur,1401953.0
Maval,1368872.0
Mavelikkara ,971035.0
Mayiladuthurai,1097243.0
Mayurbhanj ,1150357.0
Medak,1150223.0
Medinipur,1409815.0
Meerut,1216413.0
Mirzapur,1108965.0
Misrikh,1026668.0
Mohanlalganj,1269594.0
Moradabad,1282206.0
Mumbai   South,801611.0
Mumbai North,989759.0
Mumbai North East,908993.0
Mumbai North West,941497.0
Mumbai North central,901784.0
Mumbai South central,797250.0
Munger,1036268.0
Murshidabad,1453755.0
Muzaffarnagar,1160071.0
Muzaffarpur,1058086.0
Mysore,1318041.0
NEW DELHI                     ,920541.0
NORTH EAST DELHI              ,1461475.0
NORTH WEST DELHI              ,1402962.0
Nabarangpur ,1159700.0
Nagaland,1006357.0
Nagapattinam ,1002208.0
Nagarkurnool,989847.0
Nagaur,1203124.0
Nagina,1009456.0
Nagpur ,1186051.0
Nainital-udhamsingh Nagar,1258570.0
Nalanda,1031286.0
Nalgonda,1175703.0
Namakkal,1133774.0
Nanded,1129350.0
Nandurbar ,1281738.0
Nandyal,1299093.0
Narasaraopet,1437420.0
Narsapuram,1177738.0
Nashik,1121232.0
Navsari,1308018.0
Nawada,942462.0
Nellore,1287036.0
Nilgiris ,1010719.0
Nizamabad,1062768.0
North Goa,428628.0
Nowgong,1493475.0
Ongole ,1342368.0
Osmanabad,1204730.0
Outer manipur,858029.0
Palakkad,1028249.0
Palamau,1209747.0
Palghar ,1201941.0
Pali,1359799.0
Panchmahal,1083676.0
Parbhani,1252782.0
Paschim Champaran,1012936.0
Pataliputra,1077749.0
Patan,1126256.0
Pathanamthitta,1026553.0
Patiala,1177903.0
Patna Sahib,982285.0
Peddapalle ,970051.0
Perambalur,1102767.0
Phulpur,978236.0
Pilibhit,1186589.0
Pollachi,1081875.0
Ponnani,1017265.0
Porbandar,949947.0
Pratapgarh,914665.0
Puducherry,790760.0
Pune,1035236.0
Puri,1135620.0
Purnia,1153940.0
Purulia,1355236.0
Purvi Champaran,999400.0
RAIGARH,1350124.0
RAIPUR,1396250.0
RAJGARH,1260329.0
RAJNANDGAON,1307033.0
RATLAM,1400509.0
REWA,1013251.0
Rae Bareli,958556.0
Raichur,1124385.0
Raigad,1025467.0
Raiganj,1277109.0
Rajahmundry,1250427.0
Rajampet,1224354.0
Rajkot,1195271.0
Rajmahal,1047657.0
Rajsamand,1239845.0
Ramanathapuram,1066146.0
Rampur,1060921.0
Ramtek ,1196744.0
Ranaghat,1484035.0
Ranchi,1234926.0
Ratnagiri - sindhudurg,901102.0
Raver,1092971.0
Robertsganj,988287.0
Rohtak,1220571.0
SAGAR,1037175.0
SARGUJA,1280689.0
SATNA,1113656.0
SHAHDOL,1237858.0
SIDHI,1282705.0
SOUTH DELHI                   ,1214222.0
Sabarkantha,1218353.0
Saharanpur,1231746.0
Salem,1255459.0
Salempur,922518.0
Samastipur (SC),1019025.0
Sambalpur,1124455.0
Sambhal,1183469.0
Sangli,1189958.0
Sangrur,1105888.0
Sant Kabir Nagar,1063390.0
Saran,943020.0
Sasaram (SC),974749.0
Satara,1115434.0
Secundrabad,915106.0
Shahjahanpur,1186157.0
Sheohar,1004559.0
Shillong,784190.0
Shimla,913607.0
Shimoga,1283577.0
Shirdi,1029362.0
Shirur,1293117.0
Shrawasti,997007.0
Sikar,1326969.0
Sikkim,351746.0
Silchar,949696.0
Singhbhum,879329.0
Sirsa,1369486.0
Sitamarhi,1038849.0
Sitapur,1064521.0
Sivaganga,1084468.0
Siwan,984810.0
Solapur ,1084514.0
Sonipat,1129532.0
South Goa,424575.0
Srerampur,1401705.0
Srikakulam,1157329.0
Srinagar,186832.0
Sriperumbudur,1406782.0
Sultanpur,1000316.0
Sundargarh ,1100129.0
Supaul,1110805.0
Surat,1068412.0
Surendranagar,1077726.0
TIKAMGARH,1096712.0
TONK-SAWAI MADHOPUR,1233458.0
Tamluk,1446499.0
Tehri Garhwal,876069.0
Tenkasi ,1065088.0
Tezpur,1190196.0
Thane,1170518.0
Thanjavur,1059223.0
Theni ,1173489.0
Thiruvallur ,1408189.0
Thiruvananthapuram,1010180.0
Thoothukkudi,991263.0
Thrissur,1041869.0
Tiruchirappalli,1048062.0
Tirunelveli,1040350.0
Tirupati ,1313515.0
Tiruppur,1119584.0
Tiruvannamalai,1151729.0
Tripura East,1045417.0
Tripura West,1107755.0
Tumkur,1244858.0
Tura ,583041.0
UJJAIN,1252511.0
Udaipur,1454518.0
Udhampur,1180123.0
Udupi Chikmagalur,1151012.0
Ujiarpur,969284.0
Uluberia,1311099.0
Unnao,1237076.0
Uttara Kannada,1153480.0
VIDISHA,1250244.0
Vadakara,1065619.0
Vadodara,1222348.0
Vaishali,1074730.0
Valmiki Nagar,1032090.0
Valsad,1260377.0
Varanasi,1060476.0
Vellore,1026055.0
Vijayawada,1277711.0
Viluppuram,1135540.0
Virudhunagar,1074735.0
Visakhapatnam,1239754.0
Vizianagaram,1217890.0
WEST DELHI                    ,1441601.0
Warangal,1061645.0
Wardha,1072570.0
Wayanad,1092197.0
Yavatmal-Washim,1174220.0
Zahirabad,1044365.0
